Equipo1,Equipo2,Partidos,Ganados,Empatados,Perdidos,Goles
Genoa CFC,ACF Fiorentina,112,22,41,49,133:183
Genoa CFC,AS Roma,120,34,27,59,122:186
Genoa CFC,Atalanta,91,30,28,33,100:115
Genoa CFC,Bologna FC,105,29,35,41,133:148
Genoa CFC,Cagliari Calcio,65,22,18,25,85:91
Genoa CFC,Como 1907,14,5,5,4,20:17
Genoa CFC,Empoli FC,32,10,14,8,39:31
Genoa CFC,Hellas Verona,51,18,19,14,85:65
Genoa CFC,Inter,121,24,32,65,122:221
Genoa CFC,Juventus,124,23,25,76,129:254
Genoa CFC,Lazio Roma,113,41,27,45,156:176
Genoa CFC,Parma Calcio 1913,38,11,10,17,39:57
Genoa CFC,SSC Napoli,118,28,43,45,137:170
Genoa CFC,Torino FC,121,35,38,48,161:188
Genoa CFC,Udinese Calcio,61,20,20,21,82:93
Genoa CFC,US Lecce,29,14,7,7,44:26
Genoa CFC,Venezia FC,40,20,11,9,58:40
